Barcode,DT,Process_id,Station_id,Screw,Plate,Result,ManualScrew,ManualPlate,ManualResult
A123,07/11/25 20:20,3,1,0,0,0,0,1,0
B123,08/11/25 20:20,3,1,0,0,0,1,1,1
C123,09/11/25 20:20,3,1,0,0,0,0,0,0
D123,10/11/25 20:20,3,1,0,0,1,1,1,1
E123,11/11/25 20:20,3,1,0,0,1,0,0,0
F123,12/11/25 20:20,3,1,0,0,1,1,0,0
G123,13/11/25 20:20,3,1,0,1,0,0,1,0
H123,14/11/25 20:20,3,1,0,1,0,1,1,1
H123,15/11/25 20:20,3,1,0,1,0,0,1,0
H123,16/11/25 20:20,3,1,0,1,1,1,1,1
H123,17/11/25 20:20,3,1,1,0,1,0,0,0
H123,18/11/25 20:20,3,1,1,0,1,1,0,0
H123,19/11/25 20:20,3,1,1,0,0,0,1,0
H123,20/11/25 20:20,3,1,1,0,0,1,0,0
H123,21/11/25 20:20,3,1,1,0,0,0,0,0
H123,22/11/25 20:20,3,1,1,0,1,1,1,1
H123,23/11/25 20:20,3,1,1,1,1,0,1,0
H123,24/11/25 20:20,3,1,1,1,1,1,1,1
H123,25/11/25 20:20,3,1,1,1,0,0,1,0
H123,26/11/25 20:20,3,1,1,1,0,1,1,1